query_processed,article_title,paragraph,serp_position,title_common_tokens,num_title_common_tokens,tokens_to_find,paragraph_common_tokens,num_paragraph_common_tokens,paragraph_number_in_article,query_id,data_source,label
omega-3 fatty acids hypertriglyceridemia,Ethyl eicosapentaenoic acid,"In the European Union, icosapent ethyl is indicated to reduce cardiovascular risk as an adjunct to statin therapy.In the United States, icosapent ethyl is indicated as an adjunct to maximally tolerated statin therapy to reduce the risk of myocardial infarction, stroke, coronary revascularization, and unstable angina requiring hospitalization in adults with elevated triglyceride levels (≥ 150 mg/dL) and established cardiovascular disease or diabetes and two or more additional risk factors for cardiovascular disease. It is also indicated as an adjunct to diet to reduce triglyceride levels in adults with severe (≥ 500 mg/dL) hypertriglyceridemia.Intake of large doses (2.0 to 4.0 g/day) of long-chain omega-3 fatty acids as prescription drugs or dietary supplements are generally required to achieve significant (> 15%) lowering of triglycerides, and at those doses the effects can be significant (from 20% to 35% and even up to 45% in individuals with levels greater that 500 mg/dL). It appears that both eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA) lower triglycerides, however, DHA alone appears to raise low-density lipoprotein (the variant which drives atherosclerosis; sometimes very inaccurately called: ""bad cholesterol"") and LDL-C values (most typically only a calculated estimate and not measured by labs from person's blood sample for technical and cost reasons; however, this is accurately calculated with a less common NMR lipid panel lab), whilst eicosapentaenoic acid (EPA) alone does not and instead lowers the parameters aforementioned.",7.0,['acid'],1.0,"['3', 'hypertriglyceridemia', 'omega', 'fatty']","['3', 'fatty', 'hypertriglyceridemia', 'omega']",4.0,4.0,125,2021,1.0
probiotics prevention respiratory infections,Upper respiratory tract infection,"Low- or very-low quality evidence indicates probiotics may be better than placebo in preventing acute URTIs. Vaccination against influenza viruses, adenoviruses, measles, rubella, Streptococcus pneumoniae, Haemophilus influenzae, diphtheria, Bacillus anthracis, and Bordetella pertussis may prevent them from infecting the URT or reduce the severity of the infection.",1.0,"['infection', 'respiratory']",2.0,"['prevention', 'probiotic']",['probiotic'],1.0,23.0,126,2021,1.0
probiotics prevention respiratory infections,Probiotic,"Some strains of LAB may affect pathogens by means of competitive inhibition (i.e., by competing for growth) and some evidence suggests they may improve immune function by increasing the number of IgA-producing plasma cells and increasing or improving phagocytosis, as well as increasing the proportion of T lymphocytes and natural killer cells. LAB products might aid in the treatment of acute diarrhea, and possibly affect rotavirus infections in children and travelers' diarrhea in adults, but no products are approved for such indications. There is weak evidence probiotics might lower the incidence of acute upper respiratory-tract infections in adults.Probiotics do not appear to change the risk of infection in older people.",2.0,['probiotic'],1.0,"['prevention', 'infection', 'respiratory']","['infection', 'respiratory']",2.0,91.0,126,2021,1.0
probiotics prevention respiratory infections,Probiotic,"Probiotic treatment of bacterial vaginosis is the application or ingestion of bacterial species found in the healthy vagina to cure the infection of bacteria causing bacterial vaginosis. This treatment is based on the observation that 70% of healthy females have a group of bacteria in the genus Lactobacillus that dominate the population of organisms in the vagina. Specific strains of lactobacilli inhibit the growth of bacteria causing BV by producing H2O2, lactic acid, and/or bacteriocins, and/or inhibit the adherence of Gardnerella vaginalis to the vaginal epithelium, which prevents the infection from occurring in the vagina. Currently, the success of probiotic treatment has been mixed, since the use of probiotics to restore healthy populations of Lactobacillus has not been standardized.  Often, standard antibiotic treatment is used at the same time that probiotics are being tested. In addition, some groups of women respond to treatment based upon ethnicity, age, number of sexual partners, pregnancy, and the pathogens causing bacterial vaginosis. In 2013, researchers found that administration of hydrogen peroxide-producing strains, such as L. acidophilus and L. rhamnosus, were able to normalize vaginal pH and rebalance the vaginal microbiota, preventing and alleviating bacterial vaginosis.",2.0,['probiotic'],1.0,"['prevention', 'infection', 'respiratory']",['infection'],1.0,63.0,126,2021,1.0
probiotics prevention respiratory infections,Opportunistic infection,"Legionella pneumophila is a bacterium that causes Legionnaire’s disease, a respiratory infection.",4.0,['infection'],1.0,"['prevention', 'probiotic', 'respiratory']",['respiratory'],1.0,10.0,126,2021,1.0
probiotics prevention respiratory infections,Opportunistic infection,"Mycobacterium tuberculosis is a species of bacteria that causes tuberculosis, a respiratory infection.",4.0,['infection'],1.0,"['prevention', 'probiotic', 'respiratory']",['respiratory'],1.0,12.0,126,2021,1.0
probiotics prevention respiratory infections,Neonatal infection,"The susceptibility to risk of infection and immune deficiencies are active areas of research. Studies regarding the role of viruses in neonatal infections are lacking. Research also continues into the role and protective effect of gut, skin and other human microbiomes and the colonization during the neonatal period. The comparison between both resource rich and poor countries makes it difficult to compare the diagnosis success; as industrialized regions are able to confirm the diagnosis and presence of pathogens in the clinical laboratory. Clinical testing may not be available in all settings and clinicians must rely on the signs of infection in the newborn. Research data from Africa and Southeast Asia is scarce.The result of some research has been the identification of diagnostic tools and procedures that could identify mothers with group B streptococcus infection in resource-poor regions. These procedures would be easy and inexpensive to use. Those mothers who are identified as being infected could then be prophylactly treated prior to the birth of the baby.Probiotic administration of Lactobacillus species has shown some success.A GBS vaccine is currently being tested but not currently available. Vaccination is estimated to being able to prevent 4% of GBS infections for preterm births and 60–70% for neonatal GBS infections in the US. The projected benefits of maternal vaccination is the prevention of 899 cases of GBS disease and 35 deaths among infants. The  cost savings in the prevention of GBS may be over 43 million dollars. Vaccination may be especially beneficial in low to middle income countries where screening and prophylactic treatment is not possible. Analysts project that GBS vaccination would prevent 30–54% of infant GBS cases. Screening, prophylactic antibiotics and vaccine would prevent 48% of infection.",9.0,['infection'],1.0,"['prevention', 'probiotic', 'respiratory']","['prevention', 'probiotic']",2.0,121.0,126,2021,1.0
probiotics prevention respiratory infections,Neonatal infection,"There is a higher risk of infection for preterm or low birth weight neonates. Infant respiratory distress syndrome is often a condition of preterm neonates that can have long-term negative consequences, it can also arise following an infection. In some instances, neonatal respiratory tract diseases may increase the susceptibility to future respiratory infections and inflammatory responses related to lung disease.Antibiotics can be effective for neonatal infections, especially when the pathogen is quickly identified. Instead of relying solely on culturing techniques, pathogen identification has improved substantially with advancing technology; however, neonate mortality reduction has not kept pace and remains 20% to 50%. While preterm neonates are at a particularly high risk, all neonates can develop infection. Neonatal infection may also be associated with premature rupture of membranes (breakage of the amniotic sac) which substantially increases the risk of neonatal sepsis by allowing passage for bacteria to enter the womb prior to the birth of the infant. Neonatal infection can be distressing to the family and it initiates concentrated effort to treat it by clinicians. Research to improve treatment of infections and prophylactic treatment of the mother to avoid infections of the infant is ongoing.",9.0,['infection'],1.0,"['prevention', 'probiotic', 'respiratory']",['respiratory'],1.0,1.0,126,2021,1.0
minoxidil balding hair growth,Minoxidil,"Kahn along with his colleague Paul J. Grant MD had obtained a certain amount of the drug and conducted their own research, since they were first to make the side effect observation.  Neither Upjohn or Chidsey at the time were aware of the side effect of hair growth. The two doctors had been experimenting with a 1% solution of minoxidil mixed with several alcohol-based liquids.   Both parties filed patents to use the drug for hair loss prevention, which resulted in a decade-long trial between Kahn and Upjohn, which ended with Kahn's name included in a consolidated patent (U.S. #4,596,812 Charles A Chidsey, III and Guinter Kahn) in 1986 and royalties from the company to both Kahn and Grant.Meanwhile, the effect of minoxidil on hair loss prevention was so clear that in the 1980s physicians were prescribing Loniten off-label to their balding patients.In August 1988, the FDA approved the drug for treating baldness in men under the brand name ""Rogaine"" (FDA rejected Upjohn's first choice, Regain, as misleading). The agency concluded that although ""the product will not work for everyone"", 39% of the men studied had ""moderate to dense hair growth on the crown of the head"".In 1991, Upjohn made the product available for women.On February 12, 1996, the FDA approved both the over-the-counter sale of the medication and the production of generic formulations of minoxidil. Upjohn replied to that by lowering prices to half the price of the prescription drug and by releasing a prescription 5% formula of Rogaine in 1997. In 1998, a 5% formulation of minoxidil was approved for nonprescription sale by the FDA. The 5% aerosol foam formula was approved for medical use in the US in 2006. The generic versions of the 5% aerosol foam formula were approved in 2017.In 2017, JAMA published a study of pharmacy prices in four states for 41 over-the-counter minoxidil products which were ""gender-specified."" The authors found that the mean price for minoxidil solutions was the same for women and men even though the women's formulations were 2% and the men's were 5%, while the mean price for minoxidil foams, which were all 5%, was 40% higher for women. The authors noted this was the first time gender-based pricing had been shown for a medication.",1.0,['minoxidil'],1.0,"['hair', 'balding', 'growth']","['hair', 'balding', 'growth']",3.0,59.0,129,2021,1.0
minoxidil balding hair growth,Minoxidil,"Minoxidil, applied topically, is widely used for the treatment of hair loss. It is effective in helping promote hair growth in people with androgenic alopecia regardless of sex. Minoxidil must be used indefinitely for continued support of existing hair follicles and the maintenance of any experienced hair regrowth.Low-dose oral minoxidil is used off-label against hair loss.Its effect in people with alopecia areata is unclear. However, the association of oral minoxidil with Janus Kinase inhibitors (JAK inhibitors), termed oral adjuvant minoxidil, seems to increase hair regrowth in patients refractory to JAK inhibitor monotherapy.",1.0,['minoxidil'],1.0,"['hair', 'balding', 'growth']","['hair', 'growth']",2.0,5.0,129,2021,1.0
minoxidil balding hair growth,Management of hair loss,"Minoxidil, applied topically, is widely used for the treatment of hair loss. It may be effective in helping promote hair growth in both men and women with androgenic alopecia. About 40% of men experience hair regrowth after 3–6 months. It is the only topical product that is FDA approved in America for androgenic hair loss. However, increased hair loss has been reported.",2.0,['hair'],1.0,"['minoxidil', 'balding', 'growth']","['minoxidil', 'growth']",2.0,51.0,129,2021,1.0
minoxidil balding hair growth,Management of hair loss,"Type 1 and 2 5α reductase enzymes are present at pilosebaceous units in papillae of individual hair follicles. They catalyse formation of the androgens testosterone and DHT, which in turn regulate hair growth. Androgens have different effects at different follicles: they stimulate IGF-1 at facial hair, causing hair regrowth, but stimulate TGF β1, TGF β2, dickkopf1 and IL-6 at the scalp, causing hair follicle miniaturisation.Female androgenic alopecia is characterized by diffuse crown thinning without hairline recession, and like its male counterpart rarely leads to total hair loss. Finasteride and minoxidil are usually first line therapy for its treatment. Other options include topical or systemic spironolactone or flutamide, although they have a high incidence of feminising side effects and are better tolerated in female androgenic hair loss.",2.0,['hair'],1.0,"['minoxidil', 'balding', 'growth']","['minoxidil', 'growth']",2.0,136.0,129,2021,1.0
minoxidil balding hair growth,Pattern hair loss,"The initial programming of pilosebaceous units of hair follicles begins in utero. The physiology is primarily androgenic, with dihydrotestosterone (DHT) being the major contributor at the dermal papillae. Men with premature androgenic alopecia tend to have lower than normal values of sex hormone-binding globulin (SHBG), follicle stimulating hormone (FSH), testosterone, and epitestosterone when compared to men without pattern hair loss. Although hair follicles were previously thought to be permanently gone in areas of complete hair loss, they are more likely dormant, as recent studies have shown the scalp contains the stem cell progenitor cells from which the follicles arose.Transgenic studies have shown that growth and dormancy of hair follicles are related to the activity of insulin-like growth factor (IGF) at the dermal papillae, which is affected by DHT. Androgens are important in male sexual development around birth and at puberty. They regulate sebaceous glands, apocrine hair growth, and libido. With increasing age, androgens stimulate hair growth on the face, but can suppress it at the temples and scalp vertex, a condition that has been referred to as the 'androgen paradox'.Men with androgenic alopecia typically have higher 5α-reductase, higher total testosterone, higher unbound/free testosterone, and higher free androgens, including DHT. 5-alpha-reductase converts free testosterone into DHT, and is highest in the scalp and prostate gland.  DHT is most commonly formed at the tissue level by 5α-reduction of testosterone. The genetic corollary that codes for this enzyme has been discovered. Prolactin has also been suggested to have different effects on the hair follicle across gender.Also, crosstalk occurs between androgens and the Wnt-beta-catenin signaling pathway that leads to hair loss. At the level of the somatic stem cell, androgens promote differentiation of facial hair dermal papillae, but inhibit it at the scalp. Other research suggests the enzyme prostaglandin D2 synthase and its product prostaglandin D2 (PGD2) in hair follicles as contributive.These observations have led to study at the level of the mesenchymal dermal papillae. Types 1 and 2 5α reductase enzymes are present at pilosebaceous units in papillae of individual hair follicles. They catalyze formation of the androgens testosterone and DHT, which in turn regulate hair growth. Androgens have different effects at different follicles: they stimulate IGF-1 at facial hair, leading to growth, but can also stimulate TGF β1, TGF β2, dickkopf1, and IL-6 at the scalp, leading to catagenic miniaturization. Hair follicles in anaphase express four different caspases. Significant levels of inflammatory infiltrate have been found in transitional  hair  follicles. Interleukin 1 is suspected to be a cytokine mediator that promotes hair loss.The fact that hair loss is cumulative with age while androgen levels fall as well as the fact that finasteride does not reverse advanced stages of androgenetic alopecia remains a mystery, but possible explanations are higher conversion of testosterone to DHT locally with age as higher levels of 5-alpha reductase are noted in balding scalp, and higher levels of DNA damage in the dermal papilla as well as senescence of the dermal papilla due to androgen receptor activation and environmental stress. The mechanism by which the androgen receptor triggers dermal papilla permanent senescence is not known, but may involve IL6, TGFB-1 and oxidative stress. Senescence of the dermal papilla is measured by lack of mobility, different size and shape, lower replication and altered output of molecules and different expression of markers. The dermal papilla is the primary location of androgen action and its migration towards the hair bulge and subsequent signaling and size increase are required to maintain the hair follicle so senescence via the androgen receptor explains much of the physiology.",3.0,['hair'],1.0,"['minoxidil', 'balding', 'growth']","['balding', 'growth']",2.0,15.0,129,2021,1.0
minoxidil balding hair growth,Pattern hair loss,"Multiple cross-sectional studies have found associations between early androgenic alopecia, insulin resistance, and metabolic syndrome, with low HDL being the component of metabolic syndrome with highest association. Linolenic and linoleic acids, two major dietary sources of HDL, are 5 alpha reductase inhibitors. Premature androgenic alopecia and insulin resistance may be a clinical constellation that represents the male homologue, or phenotype, of polycystic ovary syndrome.  Others have found a higher rate of hyperinsulinemia in family members of women with polycystic ovarian syndrome. With early-onset AGA having an increased risk of metabolic syndrome, poorer metabolic profiles are noticed in those with AGA, including metrics for body mass index, waist circumference, fasting glucose, blood lipids, and blood pressure.In support of the association, finasteride improves glucose metabolism and decreases glycosylated hemoglobin HbA1c, a surrogate marker for diabetes mellitus. The low SHBG seen with premature androgenic alopecia is also associated with, and likely contributory to, insulin resistance, and for which it still is used as an assay for pediatric diabetes mellitus.Obesity leads to upregulation of insulin production and decrease in SHBG. Further reinforcing the relationship, SHBG is downregulated by insulin in vitro, although SHBG levels do not appear to affect insulin production. In vivo, insulin stimulates both testosterone production and SHBG inhibition in normal and obese men. The relationship between SHBG and insulin resistance has been known for some time; decades prior, ratios of SHBG and adiponectin were used before glucose to predict insulin resistance. Patients with Laron syndrome, with resultant deficient IGF, demonstrate varying degrees of alopecia and structural defects in hair follicles when examined microscopically.Because of its association with metabolic syndrome and altered glucose metabolism, both men and women with early androgenic hair loss should be screened for impaired glucose tolerance and diabetes mellitus II. Measurement of subcutaneous and visceral adipose stores by MRI, demonstrated inverse association between visceral adipose tissue and testosterone/DHT, while subcutaneous adipose correlated negatively with SHBG and positively with estrogen. SHBG association with fasting blood glucose is most dependent on intrahepatic fat, which can be measured by MRI in and out of phase imaging sequences. Serum indices of hepatic function and surrogate markers for diabetes, previously used, show less correlation with SHBG by comparison.Female patients with mineralocorticoid resistance present with androgenic alopecia.IGF levels have been found lower in those with metabolic syndrome. Circulating serum levels of IGF-1 are increased with vertex balding, although this study did not look at mRNA expression at the follicle itself. Locally, IGF is mitogenic at the dermal papillae and promotes elongation of hair follicles. The major site of production of IGF is the liver, although local mRNA expression at hair follicles correlates with increase in hair growth. IGF release is stimulated by growth hormone (GH). Methods of increasing IGF include exercise, hypoglycemia, low fatty acids, deep sleep (stage IV REM), estrogens, and consumption of amino acids such as arginine and leucine. Obesity and hyperglycemia inhibit its release. IGF also circulates in the blood bound to a large protein whose production is also dependent on GH. GH release is dependent on normal thyroid hormone. During the sixth decade of life, GH decreases in production. Because growth hormone is pulsatile and peaks during sleep, serum IGF is used as an index of overall growth hormone secretion. The surge of androgens at puberty drives an accompanying surge in growth hormone.",3.0,['hair'],1.0,"['minoxidil', 'balding', 'growth']","['balding', 'growth']",2.0,24.0,129,2021,1.0
minoxidil balding hair growth,Hair loss,"Hair loss, also known as alopecia or baldness, refers to a loss of hair from part of the head or body.  Typically at least the head is involved. The severity of hair loss can vary from a small area to the entire body. Inflammation or scarring is not usually present. Hair loss in some people causes psychological distress.Common types include male- or female-pattern hair loss, alopecia areata, and a thinning of hair known as telogen effluvium. The cause of male-pattern hair loss is a combination of genetics and male hormones; the cause of female pattern hair loss is unclear; the cause of alopecia areata is autoimmune; and the cause of telogen effluvium is typically a physically or psychologically stressful event. Telogen effluvium is very common following pregnancy.Less common causes of hair loss without inflammation or scarring include the pulling out of hair, certain medications including chemotherapy, HIV/AIDS, hypothyroidism, and malnutrition including iron deficiency. Causes of hair loss that occurs with scarring or inflammation include fungal infection, lupus erythematosus, radiation therapy, and sarcoidosis. Diagnosis of hair loss is partly based on the areas affected.Treatment of pattern hair loss may simply involve accepting the condition, which can also include shaving one's head. Interventions that can be tried include the medications minoxidil (or finasteride) and hair transplant surgery. Alopecia areata may be treated by steroid injections in the affected area, but these need to be frequently repeated to be effective. Hair loss is a common problem. Pattern hair loss by age 50 affects about half of men and a quarter of women. About 2% of people develop alopecia areata at some point in time.",4.0,['hair'],1.0,"['minoxidil', 'balding', 'growth']",['minoxidil'],1.0,0.0,129,2021,1.0
minoxidil balding hair growth,Hair loss,"Baldness is the partial or complete lack of hair growth, and part of the wider topic of ""hair thinning"". The degree and pattern of baldness varies, but its most common cause is androgenic hair loss, alopecia androgenetica, or alopecia seborrheica, with the last term primarily used in Europe.",4.0,['hair'],1.0,"['minoxidil', 'balding', 'growth']",['growth'],1.0,4.0,129,2021,1.0
minoxidil balding hair growth,Hair transplantation,"Hair transplantation is a surgical technique that removes hair follicles from one part of the body, called the 'donor site', to a bald or balding part of the body known as the 'recipient site'. The technique is primarily used to treat male pattern baldness. In this minimally invasive procedure, grafts containing hair follicles that are genetically resistant to balding (like the back of the head) are transplanted to the bald scalp. Hair transplantation can also be used to restore eyelashes, eyebrows, beard hair, chest hair, pubic hair and to fill in scars caused by accidents or surgery such as face-lifts and previous hair transplants. Hair transplantation differs from skin grafting in that grafts contain almost all of the epidermis and dermis surrounding the hair follicle, and many tiny grafts are transplanted rather than a single strip of skin.",5.0,['hair'],1.0,"['minoxidil', 'balding', 'growth']",['balding'],1.0,0.0,129,2021,1.0
minoxidil balding hair growth,Hair transplantation,"Pre-operative folliscopy will help to know the actual existing density of hair, so that postoperative results of newly transplanted hair grafts can be accurately assessed. Some patients may benefit with preoperative topical minoxidil application and vitamins.For several days prior to surgery the patient refrains from using any medicines which might result in intraoperative bleeding and resultant poor grafting. Alcohol and smoking can contribute to poor graft survival. Post operative antibiotics are commonly prescribed to prevent wound or graft infections.",5.0,['hair'],1.0,"['minoxidil', 'balding', 'growth']",['minoxidil'],1.0,9.0,129,2021,1.0
hoxsey treatment,Hoxsey Therapy,"Hoxsey Therapy or Hoxsey Method is an alternative medical treatment promoted as a cure for cancer. The treatment consists of a caustic herbal paste for external cancers or an herbal mixture for ""internal"" cancers, combined with laxatives, douches, vitamin supplements, and dietary changes. Reviews by major medical bodies, including the U.S. Food and Drug Administration (FDA), the National Cancer Institute, the American Cancer Society, M. D. Anderson Cancer Center, and Memorial Sloan-Kettering Cancer Center, have found no evidence that Hoxsey Therapy is an effective treatment for cancer. The sale or marketing of the Hoxsey Method was banned in the United States by the FDA on September 21, 1960 as a ""worthless and discredited"" remedy and a form of quackery.Currently, the Hoxsey Method is primarily marketed by the Bio-Medical Center in Tijuana, Mexico. Hoxsey Therapy is also marketed over the Internet; in June 2008, the FDA National Health Fraud Coordinator noted that ""There is no scientific evidence that it has any value to treat cancer, yet consumers can go online right now and find all sorts of false claims that Hoxsey treatment is effective against the disease.""",1.0,['hoxsey'],1.0,['treatment'],['treatment'],1.0,0.0,130,2021,0.0
hoxsey treatment,Hoxsey Therapy,"Hoxsey Therapy, a mixture of herbs, was first marketed as a purported cure for cancer in the 1920s by Harry Hoxsey, a former coal miner and insurance salesman, and Norman Baker, a radio personality. Hoxsey himself traced the treatment to his great-grandfather, who observed a horse with a tumor on its leg cure itself by grazing upon wild plants growing in the meadow. John Hoxsey gathered these herbs and mixed them with old home remedies used for cancer. Among the claims made in his book, he purports his therapy aims to restore ""physiological normalcy"" to a disturbed metabolism throughout the body, with emphasis on purgation, to help carry away wastes from the tumors he believed his herbal mixtures caused to necrotize.Hoxsey initially opened a clinic in Taylorville, Illinois to sell his treatment, one of 17 clinics that he would eventually open. Dogged in many states by legal trouble for practicing medicine without a license, Hoxsey frequently shut down his clinics and reopened them in new locations. In 1930, Hoxsey was associated with controversial broadcaster Norman G. Baker in operating the Baker Institute in Muscatine, Iowa. The two fell out and numerous lawsuits followed, while Hoxsey was again enjoined from practicing medicine without a license.",1.0,['hoxsey'],1.0,['treatment'],['treatment'],1.0,5.0,130,2021,0.0
hoxsey treatment,List of unproven and disproven cancer treatments,"Hoxsey therapy – a treatment consisting of a caustic herbal paste for external cancers or a herbal mixture for ""internal"" cancers, combined with laxatives, douches, vitamin supplements and dietary changes. A review by the Memorial Sloan-Kettering Cancer Center found no evidence that the Hoxsey Therapy was effective as a treatment for cancer.",4.0,['treatment'],1.0,['hoxsey'],['hoxsey'],1.0,49.0,130,2021,0.0
l-theanine supplements anxiety,Theanine,"The name ""theanine"" without a prefix generally implies the enantiomer L-theanine, which is the form found in tea leaves and as a dietary supplement ingredient.  Most studies have used L-theanine. The opposite enantiomer, D-theanine, has been studied less.",1.0,['theanine'],1.0,"['supplement', 'l', 'anxiety']","['supplement', 'l']",2.0,1.0,131,2021,1.0
l-theanine supplements anxiety,Theanine,"The regulatory status of theanine varies by country.  In Japan, L-theanine has been approved for use in all foods, with some restrictions in the case of infant foods.  In the United States, the Food and Drug Administration (FDA) considers it to be generally recognized as safe (GRAS) and allows its sale as a dietary supplement.  The German Federal Institute for Risk Assessment, an agency of their Federal Ministry of Food and Agriculture, objects to the addition of L-theanine to beverages. The European Food Safety Authority, when asked to provide a scientific opinion, concluded that a cause and effect relationship had not been established between consumption of L-theanine and improved cognitive function, alleviation of psychological stress, maintenance of normal sleep, or reduction of menstrual discomfort. Therefore, health claims for L-theanine are not recognized in the European Union.",1.0,['theanine'],1.0,"['supplement', 'l', 'anxiety']","['supplement', 'l']",2.0,2.0,131,2021,1.0
inhaling steam common cold,Alternative treatments used for the common cold,"Many people believe that steam inhalation reduces cold symptoms. There is no evidence suggesting that steam inhalation is effective for treating the common cold. There have been reports of children being badly burned by accidentally spilling the water used for steam inhalation.Evidence does not support a relationship between cold temperature exposure or a ""chill"" (feeling of coldness) and the common cold.",2.0,"['common', 'cold']",2.0,"['steam', 'inhaling']",['steam'],1.0,19.0,132,2021,0.0
inhaling steam common cold,List of common misconceptions,"Contrary to the apologue about the boiling frog, frogs die immediately when cast into boiling water, rather than leaping out; furthermore, frogs will attempt to escape cold water that is slowly heated past their critical thermal maximum.",3.0,['common'],1.0,"['steam', 'inhaling', 'cold']",['cold'],1.0,281.0,132,2021,0.0
inhaling steam common cold,List of common misconceptions,"Sudden immersion into freezing water does not typically cause death by hypothermia, but rather from the cold shock response, which can cause cardiac arrest, heart attack, or hyperventilation leading to drowning.",3.0,['common'],1.0,"['steam', 'inhaling', 'cold']",['cold'],1.0,394.0,132,2021,0.0
exercise depression,Neurobiological effects of physical exercise,Hippocampus – responsible for storage and consolidation of declarative memory and spatial memory; implicated in depression,1.0,['exercise'],1.0,['depression'],['depression'],1.0,15.0,133,2021,1.0
exercise depression,Neurobiological effects of physical exercise,"The ""stress hormone"", cortisol, is a glucocorticoid that binds to glucocorticoid receptors. Psychological stress induces the release of cortisol from the adrenal gland by activating the hypothalamic–pituitary–adrenal axis (HPA axis). Short-term increases in cortisol levels are associated with adaptive cognitive improvements, such as enhanced inhibitory control; however, excessively high exposure or prolonged exposure to high levels of cortisol causes impairments in cognitive control and has neurotoxic effects in the human brain. For example, chronic psychological stress decreases BDNF expression, which has detrimental effects on hippocampal volume and can lead to depression.As a physical stressor, aerobic exercise stimulates cortisol secretion in an intensity-dependent manner; however, it does not result in long-term increases in cortisol production since this exercise-induced effect on cortisol is a response to transient negative energy balance. Individuals who have recently exercised exhibit improvements in stress coping behaviors. Aerobic exercise increases physical fitness and lowers neuroendocrine (i.e., HPA axis) reactivity and therefore reduces the biological response to psychological stress in humans (e.g., reduced cortisol release and attenuated heart rate response). Exercise also reverses stress-induced decreases in BDNF expression and signaling in the brain, thereby acting as a buffer against stress-related diseases like depression.",1.0,['exercise'],1.0,['depression'],['depression'],1.0,85.0,133,2021,1.0
exercise depression,Exercise,"Although there have been hundreds of studies on physical exercise and the immune system, there is little direct evidence on its connection to illness. Epidemiological evidence suggests that moderate exercise has a beneficial effect on the human immune system; an effect which is modeled in a J curve. Moderate exercise has been associated with a 29% decreased incidence of upper respiratory tract infections (URTI), but studies of marathon runners found that their prolonged high-intensity exercise was associated with an increased risk of infection occurrence. However, another study did not find the effect. Immune cell functions are impaired following acute sessions of prolonged, high-intensity exercise, and some studies have found that athletes are at a higher risk for infections. Studies have shown that strenuous stress for long durations, such as training for a marathon, can suppress the immune system by decreasing the concentration of lymphocytes. The immune systems of athletes and nonathletes are generally similar. Athletes may have a slightly elevated natural killer cell count and cytolytic action, but these are unlikely to be clinically significant.Vitamin C supplementation has been associated with a lower incidence of upper respiratory tract infections in marathon runners.Biomarkers of inflammation such as C-reactive protein, which are associated with chronic diseases, are reduced in active individuals relative to sedentary individuals, and the positive effects of exercise may be due to its anti-inflammatory effects. In individuals with heart disease, exercise interventions lower blood levels of fibrinogen and C-reactive protein, an important cardiovascular risk marker. The depression in the immune system following acute bouts of exercise may be one of the mechanisms for this anti-inflammatory effect.",2.0,['exercise'],1.0,['depression'],['depression'],1.0,28.0,133,2021,1.0
exercise depression,Exercise,"A systematic review evaluated 45 studies that examined the relationship between physical activity and cancer survival rates. According to the review, ""[there] was consistent evidence from 27 observational studies that physical activity is associated with reduced all-cause, breast cancer–specific, and colon cancer–specific mortality. There is currently insufficient evidence regarding the association between physical activity and mortality for survivors of other cancers."" Evidence suggests that exercise may positively affect the quality of life in cancer survivors, including factors such as anxiety, self-esteem and emotional well-being. For people with cancer undergoing active treatment, exercise may also have positive effects on health-related quality of life, such as fatigue and physical functioning. This is likely to be more pronounced with higher intensity exercise.Exercise may contribute to a reduction of cancer-related fatigue in survivors of breast cancer. Although there is only limited scientific evidence on the subject, people with cancer cachexia are encouraged to engage in physical exercise. Due to various factors, some individuals with cancer cachexia have a limited capacity for physical exercise. Compliance with prescribed exercise is low in individuals with cachexia and clinical trials of exercise in this population often have high drop-out rates.There is low-quality evidence for an effect of aerobic physical exercises on anxiety and serious adverse events in adults with hematological malignancies. Aerobic physical exercise may result in little to no difference in the mortality, quality of life, or physical functioning. These exercises may result in a slight reduction in depression and reduction in fatigue.",2.0,['exercise'],1.0,['depression'],['depression'],1.0,32.0,133,2021,1.0
exercise depression,Management of depression,"The 2013 Cochrane Collaboration review on physical exercise for depression noted that, based upon limited evidence, it is moderately more effective than a control intervention and comparable to psychological or antidepressant drug therapies. Smaller effects were seen in more methodologically rigorous studies. Three subsequent 2014 systematic reviews that included the Cochrane review in their analysis concluded with similar findings: one indicated that physical exercise is effective as an adjunct treatment with antidepressant medication; the other two indicated that physical exercise has marked antidepressant effects and recommended the inclusion of physical activity as an adjunct treatment for mild–moderate depression and mental illness in general. These studies also found smaller effect sizes in more methodologically rigorous studies. All four systematic reviews called for more research in order to determine the efficacy or optimal exercise intensity, duration, and modality. The evidence for brain-derived neurotrophic factor (BDNF) in mediating some of the neurobiological effects of physical exercise was noted in one review which hypothesized that increased BDNF signaling is responsible for the antidepressant effect.  A meta-analysis of 15 studies published in 2022 suggested a curvilinear dose-response relationship between exercise and depression risk, with low levels of exercise showing the best dose-response.",3.0,['depression'],1.0,['exercise'],['exercise'],1.0,184.0,133,2021,1.0
exercise depression,Management of depression,"Mindfulness meditation programs may help improve symptoms of depression, but they are no better than active treatments such as medication, exercise, and other behavioral therapies.",3.0,['depression'],1.0,['exercise'],['exercise'],1.0,189.0,133,2021,1.0
exercise depression,Antenatal depression,"Studies suggest that forms of exercise can help with depressive symptoms both before and after birth, but not prevent it entirely.Exercise options that have been studied to help reduce symptoms:",5.0,['depression'],1.0,['exercise'],['exercise'],1.0,51.0,133,2021,1.0
